song_id,title,artist_id,year,duration
SOIAQCE12AAF3B562B                                                              ,Laser Light,ARZD4UW1187B9AB3D2,2000,401
SOPHYIS12AAF3B35A3                                                              ,The More I See You,ARGMXQW1187FB54C34,2009,251
SONMIVJ12A58A76E0B                                                              ,My Love (Album Version),ARDMBVC1187B98ED2A,0,246
SOHDKYC12A8C131C33                                                              ,These Days,ARWAJKN1187FB362A1,2001,303
SOETKHE12AF72A3B94                                                              ,Girl Sugar Plum,ARHXX4T1187FB5ABF7,0,242
SOPQFUC12A8C1445BB                                                              ,Sleeping Pill (Album Version),AR2F1JC1187FB4EFB0,0,352
SOWBBBM12A8C136E35                                                              ,The Hills & The Heath,ARDB9J71187FB4AB8B,2007,269
SOMNREY12A6D4F5707                                                              ,Arka Noego,ARDP7C31187B98A9F5,2007,257
SOYCTBG12A8C144341                                                              ,Until You Love Someone,ARIFGKC1187B9B04D5,2005,165
SOJDZTD12A8C1417DB                                                              ,I Don't Wanna Let You Go,ARBVFK31187B9A365B,2007,196
